corr,p_value,significant,correlation of,repo,Methods considered
0.21,0,yes,introSLOC_with_revisions,sonarqube,all
0.09,6.09E-156,yes,introSLOC_with_revisions,soot,all
0.04,0.0778211366,no,introSLOC_with_revisions,spark,all
0.23,0,yes,introSLOC_with_revisions,spring-boot,all
0.22,0,yes,introSLOC_with_revisions,spring-framework,all
0.11,1.48E-25,yes,introSLOC_with_revisions,swagger-core,all
0.22,9.47E-97,yes,introSLOC_with_revisions,titan,all
0.25,6.18E-92,yes,introSLOC_with_revisions,truth,all
0.2,4.44E-56,yes,introSLOC_with_revisions,Twitter4J,all
0.27,7.95E-252,yes,introSLOC_with_revisions,voldemort,all
0.11,3.75E-19,yes,introSLOC_with_revisions,vraptor4,all
0.02,1.54E-08,yes,introSLOC_with_revisions,wicket,all
0.2,0,yes,introSLOC_with_revisions,wildfly,all
0.16,2.84E-166,yes,lastSLOC_with_bugs,ant,all
0.01,0.253126823,no,lastSLOC_with_bugs,antlr4,all
0.07,1.32E-58,yes,lastSLOC_with_bugs,assertj-core,all
0.05,1.51E-05,yes,lastSLOC_with_bugs,astyanax,all
0.28,5.51E-139,yes,lastSLOC_with_bugs,atmosphere,all
0.2,5.76E-164,yes,lastSLOC_with_bugs,checkstyle,all
0.07,2.96E-07,yes,lastSLOC_with_bugs,commons-io,all
0.11,7.78E-48,yes,lastSLOC_with_bugs,commons-lang,all
0.17,5.73E-60,yes,lastSLOC_with_bugs,cucumber-jvm,all
0.12,3.53E-209,yes,lastSLOC_with_bugs,docx4j,all
0.21,0,yes,lastSLOC_with_bugs,drill,all
0.26,0,yes,lastSLOC_with_bugs,DSpace,all
0.3,2.88E-120,yes,lastSLOC_with_bugs,Essentials,all
0.18,1.64E-163,yes,lastSLOC_with_bugs,fastjson,all
0.19,0,yes,lastSLOC_with_bugs,flink,all
0.09,5.50E-15,yes,lastSLOC_with_bugs,flyway,all
0.12,1.48E-15,yes,lastSLOC_with_bugs,gson,all
0.22,0,yes,lastSLOC_with_bugs,guava,all
0.1,9.81E-12,yes,lastSLOC_with_bugs,hawtio,all
0.24,9.25E-53,yes,lastSLOC_with_bugs,hector,all
0.14,0,yes,lastSLOC_with_bugs,hibernate-orm,all
0.14,3.66E-106,yes,lastSLOC_with_bugs,hibernate-search,all
0.2,1.01E-56,yes,lastSLOC_with_bugs,Hystrix,all
0.09,1.75E-41,yes,lastSLOC_with_bugs,javaparser,all
0.3,0,yes,lastSLOC_with_bugs,jetty.project,all
-0.01,0.1494876777,no,lastSLOC_with_bugs,jgit,all
0.17,1.22E-44,yes,lastSLOC_with_bugs,jna,all
0.1,8.01E-15,yes,lastSLOC_with_bugs,junit4,all
0.14,5.31E-45,yes,lastSLOC_with_bugs,junit5,all
0.14,3.02E-79,yes,lastSLOC_with_bugs,logging-log4j2,all
0.16,6.31E-45,yes,lastSLOC_with_bugs,lombok,all
0.08,1.69E-18,yes,lastSLOC_with_bugs,mockito,all
0.13,5.00E-86,yes,lastSLOC_with_bugs,mongo-java-driver,all
0.24,3.39E-136,yes,lastSLOC_with_bugs,mybatis-3,all
0.26,0,yes,lastSLOC_with_bugs,netty,all
0.27,1.30E-117,yes,lastSLOC_with_bugs,okhttp,all
0.13,1.68E-100,yes,lastSLOC_with_bugs,openmrs-core,all
0.19,1.38E-249,yes,lastSLOC_with_bugs,pmd,all
0.09,9.39E-10,yes,lastSLOC_with_bugs,rabbitmq-java-client,all
0.16,2.67E-200,yes,lastSLOC_with_bugs,RxJava,all
0.16,0,yes,lastSLOC_with_bugs,sonarqube,all
0.05,7.08E-38,yes,lastSLOC_with_bugs,soot,all
0.08,0.002432677509,yes,lastSLOC_with_bugs,spark,all
0.14,4.26E-195,yes,lastSLOC_with_bugs,spring-boot,all
0.13,0,yes,lastSLOC_with_bugs,spring-framework,all
0.14,8.78E-38,yes,lastSLOC_with_bugs,swagger-core,all
0.22,3.84E-93,yes,lastSLOC_with_bugs,titan,all
0.19,2.60E-44,yes,lastSLOC_with_bugs,truth,all
0.28,1.21E-89,yes,lastSLOC_with_bugs,Twitter4J,all
0.22,4.23E-154,yes,lastSLOC_with_bugs,voldemort,all
0.16,2.88E-34,yes,lastSLOC_with_bugs,vraptor4,all
0.06,5.45E-36,yes,lastSLOC_with_bugs,wicket,all
0.19,0,yes,lastSLOC_with_bugs,wildfly,all
0.2,1.67E-299,yes,lastSLOC_with_revisions,ant,all
-0.1,6.31E-80,yes,lastSLOC_with_revisions,antlr4,all
0.17,0,yes,lastSLOC_with_revisions,assertj-core,all
0.07,1.17E-11,yes,lastSLOC_with_revisions,astyanax,all
0.29,1.57E-154,yes,lastSLOC_with_revisions,atmosphere,all
0.25,0,yes,lastSLOC_with_revisions,checkstyle,all
0.11,1.09E-17,yes,lastSLOC_with_revisions,commons-io,all
0.1,1.33E-51,yes,lastSLOC_with_revisions,commons-lang,all
0.19,5.77E-89,yes,lastSLOC_with_revisions,cucumber-jvm,all
0.21,0,yes,lastSLOC_with_revisions,docx4j,all
0.23,0,yes,lastSLOC_with_revisions,drill,all
0.29,0,yes,lastSLOC_with_revisions,DSpace,all
0.22,8.90E-79,yes,lastSLOC_with_revisions,Essentials,all
0.27,0,yes,lastSLOC_with_revisions,fastjson,all
0.18,0,yes,lastSLOC_with_revisions,flink,all
0.12,4.90E-23,yes,lastSLOC_with_revisions,flyway,all
0.13,3.73E-18,yes,lastSLOC_with_revisions,gson,all
0.19,0,yes,lastSLOC_with_revisions,guava,all
0.04,0.0009397925371,yes,lastSLOC_with_revisions,hawtio,all
0.22,1.00E-51,yes,lastSLOC_with_revisions,hector,all
0.1,5.15E-251,yes,lastSLOC_with_revisions,hibernate-orm,all
0.21,0.00E-02,yes,lastSLOC_with_revisions,hibernate-search,all
0.24,1.93E-95,yes,lastSLOC_with_revisions,Hystrix,all
0.2,2.05E-243,yes,lastSLOC_with_revisions,javaparser,all
0.31,0,yes,lastSLOC_with_revisions,jetty.project,all
0.19,1.69E-192,yes,lastSLOC_with_revisions,jgit,all
0.1,2.83E-19,yes,lastSLOC_with_revisions,jna,all
0.02,0.04571063803,yes,lastSLOC_with_revisions,junit4,all
0.18,7.19E-97,yes,lastSLOC_with_revisions,junit5,all
0.23,1.01E-270,yes,lastSLOC_with_revisions,logging-log4j2,all
0.23,3.34E-101,yes,lastSLOC_with_revisions,lombok,all
0.08,3.30E-20,yes,lastSLOC_with_revisions,mockito,all
0.15,1.05E-140,yes,lastSLOC_with_revisions,mongo-java-driver,all
0.25,1.14E-167,yes,lastSLOC_with_revisions,mybatis-3,all
0.26,0,yes,lastSLOC_with_revisions,netty,all
0.25,1.54E-129,yes,lastSLOC_with_revisions,okhttp,all
0.1,1.54E-69,yes,lastSLOC_with_revisions,openmrs-core,all
0.19,0,yes,lastSLOC_with_revisions,pmd,all
0.23,4.01E-69,yes,lastSLOC_with_revisions,rabbitmq-java-client,all
0.24,0,yes,lastSLOC_with_revisions,RxJava,all
0.22,0,yes,lastSLOC_with_revisions,sonarqube,all
0.11,5.77E-258,yes,lastSLOC_with_revisions,soot,all
0.04,0.1313814847,no,lastSLOC_with_revisions,spark,all
0.23,0,yes,lastSLOC_with_revisions,spring-boot,all
0.23,0,yes,lastSLOC_with_revisions,spring-framework,all
0.12,5.85E-34,yes,lastSLOC_with_revisions,swagger-core,all
0.22,8.02E-96,yes,lastSLOC_with_revisions,titan,all
0.26,3.12E-99,yes,lastSLOC_with_revisions,truth,all
0.2,9.54E-57,yes,lastSLOC_with_revisions,Twitter4J,all
0.29,2.41E-307,yes,lastSLOC_with_revisions,voldemort,all
0.11,2.53E-20,yes,lastSLOC_with_revisions,vraptor4,all
0.06,3.34E-46,yes,lastSLOC_with_revisions,wicket,all
0.22,0,yes,lastSLOC_with_revisions,wildfly,all
0.16,5.29E-171,yes,medianSLOC_with_bugs,ant,all
0.01,0.1562042841,no,medianSLOC_with_bugs,antlr4,all
0.08,2.37E-61,yes,medianSLOC_with_bugs,assertj-core,all
0.06,2.72E-07,yes,medianSLOC_with_bugs,astyanax,all
0.28,1.04E-143,yes,medianSLOC_with_bugs,atmosphere,all
0.2,1.19E-168,yes,medianSLOC_with_bugs,checkstyle,all
0.08,2.07E-08,yes,medianSLOC_with_bugs,commons-io,all
0.12,2.90E-54,yes,medianSLOC_with_bugs,commons-lang,all
0.17,4.57E-61,yes,medianSLOC_with_bugs,cucumber-jvm,all
0.12,7.77E-212,yes,medianSLOC_with_bugs,docx4j,all
0.22,0,yes,medianSLOC_with_bugs,drill,all
0.26,0,yes,medianSLOC_with_bugs,DSpace,all
0.31,1.01E-131,yes,medianSLOC_with_bugs,Essentials,all
0.18,2.16E-171,yes,medianSLOC_with_bugs,fastjson,all
0.19,0,yes,medianSLOC_with_bugs,flink,all
0.11,1.64E-20,yes,medianSLOC_with_bugs,flyway,all
0.13,6.39E-17,yes,medianSLOC_with_bugs,gson,all
0.22,0,yes,medianSLOC_with_bugs,guava,all
0.1,1.84E-12,yes,medianSLOC_with_bugs,hawtio,all
0.24,1.79E-53,yes,medianSLOC_with_bugs,hector,all
0.14,0,yes,medianSLOC_with_bugs,hibernate-orm,all
0.14,3.02E-111,yes,medianSLOC_with_bugs,hibernate-search,all
0.24,3.41E-83,yes,medianSLOC_with_bugs,Hystrix,all
0.08,2.36E-33,yes,medianSLOC_with_bugs,javaparser,all
0.3,0,yes,medianSLOC_with_bugs,jetty.project,all
-0.01,0.4268824595,no,medianSLOC_with_bugs,jgit,all
0.18,3.05E-47,yes,medianSLOC_with_bugs,jna,all
0.11,1.25E-16,yes,medianSLOC_with_bugs,junit4,all
0.15,5.62E-49,yes,medianSLOC_with_bugs,junit5,all
0.14,2.78E-82,yes,medianSLOC_with_bugs,logging-log4j2,all
0.16,1.59E-45,yes,medianSLOC_with_bugs,lombok,all
0.09,2.72E-20,yes,medianSLOC_with_bugs,mockito,all
0.14,1.02E-91,yes,medianSLOC_with_bugs,mongo-java-driver,all
0.24,5.38E-145,yes,medianSLOC_with_bugs,mybatis-3,all
0.27,0,yes,medianSLOC_with_bugs,netty,all
0.28,9.01E-126,yes,medianSLOC_with_bugs,okhttp,all
0.13,8.12E-108,yes,medianSLOC_with_bugs,openmrs-core,all
0.2,8.98E-299,yes,medianSLOC_with_bugs,pmd,all
0.09,8.27E-11,yes,medianSLOC_with_bugs,rabbitmq-java-client,all
0.17,4.68E-213,yes,medianSLOC_with_bugs,RxJava,all
0.16,0,yes,medianSLOC_with_bugs,sonarqube,all
0.04,1.85E-37,yes,medianSLOC_with_bugs,soot,all
0.09,0.0006066253072,yes,medianSLOC_with_bugs,spark,all
0.15,4.15E-199,yes,medianSLOC_with_bugs,spring-boot,all
0.14,0,yes,medianSLOC_with_bugs,spring-framework,all
0.15,2.88E-44,yes,medianSLOC_with_bugs,swagger-core,all
0.24,2.36E-108,yes,medianSLOC_with_bugs,titan,all
0.19,1.06E-46,yes,medianSLOC_with_bugs,truth,all
0.31,1.85E-111,yes,medianSLOC_with_bugs,Twitter4J,all
0.22,3.72E-158,yes,medianSLOC_with_bugs,voldemort,all
0.17,2.48E-39,yes,medianSLOC_with_bugs,vraptor4,all
0.05,4.19E-32,yes,medianSLOC_with_bugs,wicket,all
0.19,0,yes,medianSLOC_with_bugs,wildfly,all
0.21,0,yes,medianSLOC_with_revisions,ant,all
-0.1,3.34E-77,yes,medianSLOC_with_revisions,antlr4,all
0.17,0,yes,medianSLOC_with_revisions,assertj-core,all
0.08,6.10E-15,yes,medianSLOC_with_revisions,astyanax,all
0.29,3.32E-156,yes,medianSLOC_with_revisions,atmosphere,all
0.26,0,yes,medianSLOC_with_revisions,checkstyle,all
0.12,2.08E-19,yes,medianSLOC_with_revisions,commons-io,all
0.11,4.79E-56,yes,medianSLOC_with_revisions,commons-lang,all
0.2,1.35E-94,yes,medianSLOC_with_revisions,cucumber-jvm,all
0.21,0,yes,medianSLOC_with_revisions,docx4j,all
0.24,0,yes,medianSLOC_with_revisions,drill,all
0.29,0,yes,medianSLOC_with_revisions,DSpace,all
0.24,2.65E-97,yes,medianSLOC_with_revisions,Essentials,all
0.28,0,yes,medianSLOC_with_revisions,fastjson,all
0.19,0,yes,medianSLOC_with_revisions,flink,all
0.13,4.15E-30,yes,medianSLOC_with_revisions,flyway,all
0.14,2.74E-22,yes,medianSLOC_with_revisions,gson,all
0.2,0,yes,medianSLOC_with_revisions,guava,all
0.05,0.0003840036911,yes,medianSLOC_with_revisions,hawtio,all
0.25,6.19E-68,yes,medianSLOC_with_revisions,hector,all
0.1,6.62E-253,yes,medianSLOC_with_revisions,hibernate-orm,all
0.22,0,yes,medianSLOC_with_revisions,hibernate-search,all
0.28,8.41E-128,yes,medianSLOC_with_revisions,Hystrix,all
0.2,1.51E-241,yes,medianSLOC_with_revisions,javaparser,all
0.31,0,yes,medianSLOC_with_revisions,jetty.project,all
0.2,1.89E-201,yes,medianSLOC_with_revisions,jgit,all
0.12,3.42E-24,yes,medianSLOC_with_revisions,jna,all
0.02,0.03438039749,yes,medianSLOC_with_revisions,junit4,all
0.19,2.67E-102,yes,medianSLOC_with_revisions,junit5,all
0.23,1.19E-279,yes,medianSLOC_with_revisions,logging-log4j2,all
0.23,9.66E-102,yes,medianSLOC_with_revisions,lombok,all
0.09,5.54E-25,yes,medianSLOC_with_revisions,mockito,all
0.16,2.72E-148,yes,medianSLOC_with_revisions,mongo-java-driver,all
0.25,2.61E-173,yes,medianSLOC_with_revisions,mybatis-3,all
0.27,0,yes,medianSLOC_with_revisions,netty,all
0.26,2.69E-142,yes,medianSLOC_with_revisions,okhttp,all
0.11,5.53E-90,yes,medianSLOC_with_revisions,openmrs-core,all
0.2,0,yes,medianSLOC_with_revisions,pmd,all
0.23,8.57E-72,yes,medianSLOC_with_revisions,rabbitmq-java-client,all
0.25,0,yes,medianSLOC_with_revisions,RxJava,all
0.22,0,yes,medianSLOC_with_revisions,sonarqube,all
0.12,1.41E-264,yes,medianSLOC_with_revisions,soot,all
0.05,0.05926339546,no,medianSLOC_with_revisions,spark,all
0.24,0,yes,medianSLOC_with_revisions,spring-boot,all
0.23,0,yes,medianSLOC_with_revisions,spring-framework,all
0.13,7.84E-36,yes,medianSLOC_with_revisions,swagger-core,all
0.24,5.70E-116,yes,medianSLOC_with_revisions,titan,all
0.26,8.76E-107,yes,medianSLOC_with_revisions,truth,all
0.21,6.53E-64,yes,medianSLOC_with_revisions,Twitter4J,all
0.3,0,yes,medianSLOC_with_revisions,voldemort,all
0.12,1.46E-22,yes,medianSLOC_with_revisions,vraptor4,all
0.05,8.07E-36,yes,medianSLOC_with_revisions,wicket,all
0.23,0,yes,medianSLOC_with_revisions,wildfly,all
0.26,0,yes,stdSLOC_with_bugs,ant,all
0.55,0,yes,stdSLOC_with_bugs,antlr4,all
0.25,0,yes,stdSLOC_with_bugs,assertj-core,all
0.44,2.13E-275,yes,stdSLOC_with_bugs,astyanax,all
