Repo,Github url,Stars,Contributors,Ref. Commit,Years,#Methods,#Files,TtlSLOC,TtlRevisions
logging-log4j2,apache/logging-log4j2,1230,122,e24e2e8901ccfff1b7e6c5b8d40b707bfc91c843,11.06849315,19997,2262,173812,46656
jgit,eclipse/jgit,983,140,4560bdf7e,10.82739726,19010,1587,232145,30665
titan,thinkaurelius/titan,5135,34,ee226e524,3.769863014,16796,904,74510,27617
checkstyle,checkstyle/checkstyle,6115,287,3d8b43445,19.61369863,16350,2702,239197,51991
commons-lang,apache/commons-lang,2138,160,a1495290b,18.55890411,13944,397,84443,39937
voldemort,voldemort/voldemort,2475,65,a7dbdea58032021361680faacf2782cf981c5332,6.375342466,12157,997,175868,19722
cucumber-jvm,cucumber/cucumber-jvm,2291,226,bb8f6bb1e,12.43835616,10678,777,43999,25250
junit5,junit-team/junit5,4691,167,da2dee2bfb,5.838356164,9928,1190,80768,35207
swagger-core,swagger-api/swagger-core,6796,202,567bb88c9a789dde79d08df166957bfa9a25a3b5,9.819178082,9653,761,50583,13836
mockito,mockito/mockito,12043,221,43facffb6,13.23287671,8991,944,55569,27011
mybatis-3,mybatis/mybatis-3,15965,182,b791f4476f6fba6d717196d0489820eb65a946bb,11.0630137,8850,1238,60825,15166
lombok,projectlombok/lombok,10391,114,5120abe4741c78d19d7e65404f407cfe57074a47,11.70684932,7789,1503,84609,15509
flyway,flyway/flyway,5987,2821,03bec1cc4e78f8231dbe5edc1d976ca610bba0ab,11.14794521,7697,445,24948,12298
atmosphere,Atmosphere/atmosphere,3524,111,75f568553bfb38f2c1f411eb0e636b85e117277f,10.69863014,7466,417,41605,13463
okhttp,square/okhttp,40428,236,edf477cb4,9.693150685,7387,158,37132,39574
vraptor4,caelum/vraptor4,343,48,593ce9ad60f9d38c360881b2132417c56b8cc093,5.64109589,6988,551,26725,9049
astyanax,Netflix/astyanax,1021,55,dadde734e590a67b051c8388c0602d1aaaa75733,9.778082192,6391,618,55399,9732
Essentials,EssentialsX/Essentials,1086,215,2c68d1b866332211636ba84a0604630b7658192a,10.09041096,6381,442,41610,19943
Hystrix,Netflix/Hystrix,21751,109,3cb21589895e9f8f87cfcdbc9d96d9f63d48b848,6.676712329,5890,411,50510,7231
Twitter4J,Twitter4J/Twitter4J,2563,132,8376fade8d557896bb9319fb46e39a55b134b166,11.16986301,5546,411,31577,20667
jna,java-native-access/jna,6655,143,a0641dd92,23.2109589,4787,564,87353,13726
junit4,junit-team/junit4,8160,151,02aaa01b,20.8739726,4762,471,31242,13060
hawtio,hawtio/hawtio,1233,102,bbd681905215253bc35426a930ded65488129892,8.463013699,4642,204,15259,4140
truth,google/truth,2296,83,60dcd0931f52ac4dd1e3a969f1f07385ce59f621,10.00273973,4609,185,34461,13154
commons-io,apache/commons-io,787,76,29b70e15,19.03561644,4207,360,39836,16667
rabbitmq-java-client,rabbitmq/rabbitmq-java-client,996,52,cc7c86773e439d4244cf1a6a6be3ef9bf86be44e,13.20273973,4161,367,32052,10092
hector,hector-client/hector,648,71,a302e68ca8d91b45d332e8c9afd7d98030b54de1,10.83287671,3682,459,31365,6123
gson,google/gson,19809,109,ceae88bd,12.35068493,3633,207,25280,5781
spark,apache/spark,30409,1694,54079b0f95f0076dd3c440e1255a7d449d9489f1,10.64931507,2089,986,79958,3224
Total,-,518433,14793,-,653,1598592,122535,10846053,3171244
Mean,-,9782,279,-,12,30162,2312,204643,59835
Median,-,3482,157,-,11,16796,1238,126645,35207
Min,-,303,34,-,4,2089,158,15259,3224
Max,-,56378,2821,-,24,130333,11282,1259298,249504
